Boundary,2010 (Acre-ft),2015 (Acre-ft)
County,169693.3887,194690.2549
Solano Sub-basin,154502.9083,185519.9601
SID,51614.62943,60864.30385
MPWD,12152.41284,15954.2341
RD 2068,7102.538004,9944.757256
Dixon Ridge,48410.18715,58382.29972
Montezuma Hills,3446.684754,4226.303871
Southeast Region,35573.61848,40452.35242
Western Region,8375.789568,2972.858764
